Partner,Year,Actual,Predicted,Model
JPN,2018,0.02,0.016697138277076806,Stacking
JPN,2018,0.95,0.9406711666093055,Stacking
JPN,2018,0.01,0.002047291197274148,Stacking
JPN,2018,0.64,0.3338556738453774,Stacking
JPN,2018,0.0,-0.011461567573625653,Stacking
JPN,2019,0.49,0.49767149281218864,Stacking
JPN,2019,0.0,-0.026530365998972016,Stacking
JPN,2019,1.16,1.1445960722005635,Stacking
JPN,2019,3.06,3.074634926287127,Stacking
JPN,2019,0.01,-0.014654824775381436,Stacking
JPN,2019,0.98,0.9428731660940741,Stacking
JPN,2019,0.02,0.012612798128698144,Stacking
JPN,2020,1.09,1.1142074883237565,Stacking
JPN,2020,0.0,-0.05639603705328794,Stacking
JPN,2020,0.01,-0.008580067584174345,Stacking
JPN,2020,0.79,0.8655802034563308,Stacking
JPN,2020,0.01,-0.00575637017881675,Stacking
JPN,2020,0.02,0.1623641359688821,Stacking
JPN,2020,3.04,3.038515860805282,Stacking
JPN,2021,3.1,3.066425062215547,Stacking
JPN,2021,0.57,0.6636375367271499,Stacking
JPN,2021,0.01,0.004152896375939019,Stacking
JPN,2021,0.01,-0.010752014515050534,Stacking
JPN,2021,0.01,0.005885298530111993,Stacking
JPN,2021,0.0,0.003154000023643855,Stacking
JPN,2021,1.01,1.0352408215206268,Stacking
JPN,2022,0.01,0.022253969864232392,Stacking
JPN,2022,0.56,0.5987642118867357,Stacking
JPN,2022,0.01,0.0293088059707865,Stacking
JPN,2022,1.01,1.0390842273810916,Stacking
JPN,2022,2.71,2.8953946542907265,Stacking
JPN,2022,0.0,0.04762847276884491,Stacking
JPN,2022,0.01,0.016835173912800983,Stacking
JPN,2023,2.67,2.722263721704906,Stacking
JPN,2023,0.0,-0.01917530896449343,Stacking
JPN,2023,1.14,1.1015411729632936,Stacking
JPN,2023,0.01,0.03308429060222384,Stacking
JPN,2023,0.01,0.01225836684475029,Stacking
JPN,2023,0.68,0.6425206323142176,Stacking
