Partner,HS code,Product Name,Year,TariffRate
Chad,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2005,11.71
Chile,39,PLASTICS AND ARTICLES THEREOF,2007,6
Chile,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2006,6
Chile,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2005,6
China,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2006,3.87
China,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2006,5.85
"Taiwan, China",73,ARTICLES OF IRON OR STEEL,2008,5.3
"Taiwan, China",85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2008,0.41
"Taiwan, China",90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2008,0.48
Colombia,73,ARTICLES OF IRON OR STEEL,2005,13.95
Colombia,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2007,9.9
Colombia,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2006,15.78
"Congo, Rep.",39,PLASTICS AND ARTICLES THEREOF,2006,17.28
"Congo, Rep.",85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2005,13.28
"Congo, Rep.",90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2012,10.07
"Congo, Dem. Rep.",73,ARTICLES OF IRON OR STEEL,2006,10.31
"Congo, Dem. Rep.",85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2006,12.13
"Congo, Dem. Rep.",90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2006,6.02
Costa Rica,39,PLASTICS AND ARTICLES THEREOF,2005,2.26
Costa Rica,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2005,7.91
Croatia,73,ARTICLES OF IRON OR STEEL,2005,6.02
Croatia,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2005,0.3
Cuba,73,ARTICLES OF IRON OR STEEL,2005,15
Cuba,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2005,13.58
Cuba,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2005,10.21
Cyprus,39,PLASTICS AND ARTICLES THEREOF,2005,6.23
Cyprus,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2005,3.81
Czech Republic,73,ARTICLES OF IRON OR STEEL,2005,2.79
Czech Republic,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2005,0.57
Benin,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2005,5.87
Benin,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2005,19.61
Denmark,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2005,1.83
Dominica,39,PLASTICS AND ARTICLES THEREOF,2005,16.99
Dominica,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2005,5.26
Dominica,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2005,13.31
Dominica,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2005,23.17
Dominican Republic,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2005,3.62
Dominican Republic,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2005,16.42
Ecuador,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2005,4.21
Ecuador,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2007,12.33
El Salvador,39,PLASTICS AND ARTICLES THEREOF,2006,2.35
El Salvador,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2006,10.78
Equatorial Guinea,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2005,14.28
Ethiopia(excludes Eritrea),87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2006,16.14
Estonia,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2006,0.97
Estonia,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2006,0.9
Fiji,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2006,4.97
Finland,39,PLASTICS AND ARTICLES THEREOF,2006,5.77
